"RwID","LVL_KBQ_M2","LVL_CI_KM2"
1,"< 0.04","< 0.001"
2,"0.1 - 0.2","0.0027 - 0.0054"
3,"< 0.04","< 0.001"
4,"0.1 - 0.2","0.0027 - 0.0054"
5,"0.1 - 0.2","0.0027 - 0.0054"
6,"0.1 - 0.2","0.0027 - 0.0054"
7,"0.1 - 0.2","0.0027 - 0.0054"
8,"< 0.04","< 0.001"
9,"0.1 - 0.2","0.0027 - 0.0054"
10,"0.1 - 0.2","0.0027 - 0.0054"
11,"0.1 - 0.2","0.0027 - 0.0054"
12,"0.1 - 0.2","0.0027 - 0.0054"
13,"0.1 - 0.2","0.0027 - 0.0054"
14,"0.1 - 0.2","0.0027 - 0.0054"
15,"0.1 - 0.2","0.0027 - 0.0054"
16,"< 0.04","< 0.001"
17,"0.04 - 0.1","0.001 - 0.0027"
18,"0.04 - 0.1","0.001 - 0.0027"
19,"0.04 - 0.1","0.001 - 0.0027"
20,"0.04 - 0.1","0.001 - 0.0027"
21,"0.04 - 0.1","0.001 - 0.0027"
22,"0.04 - 0.1","0.001 - 0.0027"
23,"0.04 - 0.1","0.001 - 0.0027"
24,"0.04 - 0.1","0.001 - 0.0027"
25,"0.04 - 0.1","0.001 - 0.0027"
26,"0.04 - 0.1","0.001 - 0.0027"
27,"0.04 - 0.1","0.001 - 0.0027"
28,"0.04 - 0.1","0.001 - 0.0027"
29,"0.04 - 0.1","0.001 - 0.0027"
30,"0.04 - 0.1","0.001 - 0.0027"
31,"0.04 - 0.1","0.001 - 0.0027"
32,"0.04 - 0.1","0.001 - 0.0027"
33,"0.04 - 0.1","0.001 - 0.0027"
34,"0.04 - 0.1","0.001 - 0.0027"
35,"0.04 - 0.1","0.001 - 0.0027"
36,"0.04 - 0.1","0.001 - 0.0027"
37,"0.04 - 0.1","0.001 - 0.0027"
38,"0.04 - 0.1","0.001 - 0.0027"
39,"0.04 - 0.1","0.001 - 0.0027"
40,"0.04 - 0.1","0.001 - 0.0027"
41,"0.04 - 0.1","0.001 - 0.0027"
42,"0.04 - 0.1","0.001 - 0.0027"
43,"0.04 - 0.1","0.001 - 0.0027"
44,"0.04 - 0.1","0.001 - 0.0027"
45,"0.04 - 0.1","0.001 - 0.0027"
46,"0.04 - 0.1","0.001 - 0.0027"
47,"0.04 - 0.1","0.001 - 0.0027"
48,"0.04 - 0.1","0.001 - 0.0027"
49,"0.04 - 0.1","0.001 - 0.0027"
50,"0.04 - 0.1","0.001 - 0.0027"
51,"0.04 - 0.1","0.001 - 0.0027"
52,"0.04 - 0.1","0.001 - 0.0027"
53,"0.04 - 0.1","0.001 - 0.0027"
54,"0.04 - 0.1","0.001 - 0.0027"
55,"0.04 - 0.1","0.001 - 0.0027"
56,"0.04 - 0.1","0.001 - 0.0027"
57,"0.04 - 0.1","0.001 - 0.0027"
58,"0.04 - 0.1","0.001 - 0.0027"
59,"0.04 - 0.1","0.001 - 0.0027"
60,"0.04 - 0.1","0.001 - 0.0027"
61,"0.04 - 0.1","0.001 - 0.0027"
62,"0.04 - 0.1","0.001 - 0.0027"
63,"0.04 - 0.1","0.001 - 0.0027"
64,"0.04 - 0.1","0.001 - 0.0027"
65,"0.04 - 0.1","0.001 - 0.0027"
66,"0.04 - 0.1","0.001 - 0.0027"
67,"0.04 - 0.1","0.001 - 0.0027"
68,"0.04 - 0.1","0.001 - 0.0027"
69,"0.04 - 0.1","0.001 - 0.0027"
70,"0.04 - 0.1","0.001 - 0.0027"
71,"0.04 - 0.1","0.001 - 0.0027"
72,"0.04 - 0.1","0.001 - 0.0027"
73,"< 0.04","< 0.001"
74,"0.04 - 0.1","0.001 - 0.0027"
75,"0.04 - 0.1","0.001 - 0.0027"
76,"0.04 - 0.1","0.001 - 0.0027"
77,"0.04 - 0.1","0.001 - 0.0027"
78,"0.04 - 0.1","0.001 - 0.0027"
79,"0.04 - 0.1","0.001 - 0.0027"
80,"0.04 - 0.1","0.001 - 0.0027"
81,"0.04 - 0.1","0.001 - 0.0027"
82,"0.04 - 0.1","0.001 - 0.0027"
83,"0.04 - 0.1","0.001 - 0.0027"
84,"0.04 - 0.1","0.001 - 0.0027"
85,"< 0.04","< 0.001"
86,"0.04 - 0.1","0.001 - 0.0027"
87,"0.04 - 0.1","0.001 - 0.0027"
88,"0.04 - 0.1","0.001 - 0.0027"
89,"0.04 - 0.1","0.001 - 0.0027"
90,"0.04 - 0.1","0.001 - 0.0027"
91,"< 0.04","< 0.001"
92,"0.04 - 0.1","0.001 - 0.0027"
93,"0.04 - 0.1","0.001 - 0.0027"
94,"0.04 - 0.1","0.001 - 0.0027"
95,"0.04 - 0.1","0.001 - 0.0027"
96,"< 0.04","< 0.001"
97,"0.04 - 0.1","0.001 - 0.0027"
98,"0.04 - 0.1","0.001 - 0.0027"
99,"0.04 - 0.1","0.001 - 0.0027"
100,"0.04 - 0.1","0.001 - 0.0027"
101,"0.04 - 0.1","0.001 - 0.0027"
102,"0.04 - 0.1","0.001 - 0.0027"
103,"0.04 - 0.1","0.001 - 0.0027"
104,"0.04 - 0.1","0.001 - 0.0027"
105,"0.04 - 0.1","0.001 - 0.0027"
106,"0.04 - 0.1","0.001 - 0.0027"
107,"0.04 - 0.1","0.001 - 0.0027"
108,"< 0.04","< 0.001"
109,"0.04 - 0.1","0.001 - 0.0027"
110,"0.04 - 0.1","0.001 - 0.0027"
111,"< 0.04","< 0.001"
112,"< 0.04","< 0.001"
113,"0.04 - 0.1","0.001 - 0.0027"
114,"< 0.04","< 0.001"
115,"< 0.04","< 0.001"
116,"0.04 - 0.1","0.001 - 0.0027"
117,"0.04 - 0.1","0.001 - 0.0027"
118,"0.04 - 0.1","0.001 - 0.0027"
119,"0.04 - 0.1","0.001 - 0.0027"
120,"0.04 - 0.1","0.001 - 0.0027"
121,"< 0.04","< 0.001"
122,"0.04 - 0.1","0.001 - 0.0027"
123,"< 0.04","< 0.001"
124,"0.04 - 0.1","0.001 - 0.0027"
125,"0.2 - 0.4","0.0054 - 0.01"
126,"0.04 - 0.1","0.001 - 0.0027"
127,"0.04 - 0.1","0.001 - 0.0027"
128,"< 0.04","< 0.001"
129,"0.2 - 0.4","0.0054 - 0.01"
130,"0.2 - 0.4","0.0054 - 0.01"
131,"< 0.04","< 0.001"
132,"0.04 - 0.1","0.001 - 0.0027"
133,"< 0.04","< 0.001"
134,"0.04 - 0.1","0.001 - 0.0027"
135,"< 0.04","< 0.001"
136,"0.2 - 0.4","0.0054 - 0.01"
137,"0.4 - 1","0.01 - 0.027"
138,"0.04 - 0.1","0.001 - 0.0027"
139,"0.04 - 0.1","0.001 - 0.0027"
140,"0.04 - 0.1","0.001 - 0.0027"
141,"0.4 - 1","0.01 - 0.027"
142,"0.04 - 0.1","0.001 - 0.0027"
143,"0.2 - 0.4","0.0054 - 0.01"
144,"0.04 - 0.1","0.001 - 0.0027"
145,"0.04 - 0.1","0.001 - 0.0027"
146,"0.04 - 0.1","0.001 - 0.0027"
147,"0.04 - 0.1","0.001 - 0.0027"
148,"0.2 - 0.4","0.0054 - 0.01"
149,"0.2 - 0.4","0.0054 - 0.01"
150,"1 - 2","0.027 - 0.054"
151,"0.04 - 0.1","0.001 - 0.0027"
152,"< 0.04","< 0.001"
153,"0.04 - 0.1","0.001 - 0.0027"
154,"0.2 - 0.4","0.0054 - 0.01"
155,"0.04 - 0.1","0.001 - 0.0027"
156,"1 - 2","0.027 - 0.054"
157,"< 0.04","< 0.001"
158,"0.2 - 0.4","0.0054 - 0.01"
159,"0.04 - 0.1","0.001 - 0.0027"
160,"< 0.04","< 0.001"
161,"< 0.04","< 0.001"
162,"< 0.04","< 0.001"
163,"< 0.04","< 0.001"
164,"0.04 - 0.1","0.001 - 0.0027"
165,"0.04 - 0.1","0.001 - 0.0027"
166,"0.2 - 0.4","0.0054 - 0.01"
167,"< 0.04","< 0.001"
168,"0.2 - 0.4","0.0054 - 0.01"
169,"2 - 4","0.054 - 0.1"
170,"0.04 - 0.1","0.001 - 0.0027"
171,"0.2 - 0.4","0.0054 - 0.01"
172,"4 - 10","0.1 - 0.27"
173,"2 - 4","0.054 - 0.1"
174,"0.2 - 0.4","0.0054 - 0.01"
175,"0.04 - 0.1","0.001 - 0.0027"
176,"< 0.04","< 0.001"
177,"0.2 - 0.4","0.0054 - 0.01"
178,"0.04 - 0.1","0.001 - 0.0027"
179,"0.04 - 0.1","0.001 - 0.0027"
180,"0.04 - 0.1","0.001 - 0.0027"
181,"0.04 - 0.1","0.001 - 0.0027"
182,"0.1 - 0.2","0.0027 - 0.0054"
183,"0.1 - 0.2","0.0027 - 0.0054"
184,"0.1 - 0.2","0.0027 - 0.0054"
185,"0.1 - 0.2","0.0027 - 0.0054"
186,"0.1 - 0.2","0.0027 - 0.0054"
187,"0.1 - 0.2","0.0027 - 0.0054"
188,"0.1 - 0.2","0.0027 - 0.0054"
189,"0.1 - 0.2","0.0027 - 0.0054"
190,"0.1 - 0.2","0.0027 - 0.0054"
191,"0.1 - 0.2","0.0027 - 0.0054"
192,"0.1 - 0.2","0.0027 - 0.0054"
193,"0.1 - 0.2","0.0027 - 0.0054"
194,"0.1 - 0.2","0.0027 - 0.0054"
195,"0.1 - 0.2","0.0027 - 0.0054"
196,"0.1 - 0.2","0.0027 - 0.0054"
197,"0.1 - 0.2","0.0027 - 0.0054"
198,"0.1 - 0.2","0.0027 - 0.0054"
199,"0.1 - 0.2","0.0027 - 0.0054"
200,"0.1 - 0.2","0.0027 - 0.0054"
201,"0.1 - 0.2","0.0027 - 0.0054"
202,"0.1 - 0.2","0.0027 - 0.0054"
203,"0.1 - 0.2","0.0027 - 0.0054"
204,"0.1 - 0.2","0.0027 - 0.0054"
205,"0.1 - 0.2","0.0027 - 0.0054"
206,"0.1 - 0.2","0.0027 - 0.0054"
207,"0.1 - 0.2","0.0027 - 0.0054"
208,"0.1 - 0.2","0.0027 - 0.0054"
209,"0.1 - 0.2","0.0027 - 0.0054"
210,"0.1 - 0.2","0.0027 - 0.0054"
211,"0.1 - 0.2","0.0027 - 0.0054"
212,"0.1 - 0.2","0.0027 - 0.0054"
213,"0.1 - 0.2","0.0027 - 0.0054"
214,"0.1 - 0.2","0.0027 - 0.0054"
215,"0.1 - 0.2","0.0027 - 0.0054"
216,"0.1 - 0.2","0.0027 - 0.0054"
217,"0.1 - 0.2","0.0027 - 0.0054"
218,"0.1 - 0.2","0.0027 - 0.0054"
219,"0.1 - 0.2","0.0027 - 0.0054"
220,"0.1 - 0.2","0.0027 - 0.0054"
221,"0.1 - 0.2","0.0027 - 0.0054"
222,"0.1 - 0.2","0.0027 - 0.0054"
223,"0.1 - 0.2","0.0027 - 0.0054"
224,"0.1 - 0.2","0.0027 - 0.0054"
225,"0.1 - 0.2","0.0027 - 0.0054"
226,"0.1 - 0.2","0.0027 - 0.0054"
227,"0.1 - 0.2","0.0027 - 0.0054"
228,"0.04 - 0.1","0.001 - 0.0027"
229,"0.04 - 0.1","0.001 - 0.0027"
230,"0.04 - 0.1","0.001 - 0.0027"
231,"0.04 - 0.1","0.001 - 0.0027"
232,"< 0.04","< 0.001"
233,"< 0.04","< 0.001"
234,"0.04 - 0.1","0.001 - 0.0027"
235,"0.2 - 0.4","0.0054 - 0.01"
236,"< 0.04","< 0.001"
237,"< 0.04","< 0.001"
238,"0.2 - 0.4","0.0054 - 0.01"
239,"0.4 - 1","0.01 - 0.027"
240,"0.4 - 1","0.01 - 0.027"
241,"0.04 - 0.1","0.001 - 0.0027"
242,"< 0.04","< 0.001"
243,"4 - 10","0.1 - 0.27"
244,"4 - 10","0.1 - 0.27"
245,"0.4 - 1","0.01 - 0.027"
246,"> 10","> 0.27"
247,"0.04 - 0.1","0.001 - 0.0027"
248,"0.4 - 1","0.01 - 0.027"
249,"< 0.04","< 0.001"
250,"< 0.04","< 0.001"
251,"0.2 - 0.4","0.0054 - 0.01"
252,"0.1 - 0.2","0.0027 - 0.0054"
253,"0.1 - 0.2","0.0027 - 0.0054"
254,"0.1 - 0.2","0.0027 - 0.0054"
255,"0.1 - 0.2","0.0027 - 0.0054"
256,"0.1 - 0.2","0.0027 - 0.0054"
257,"0.1 - 0.2","0.0027 - 0.0054"
258,"0.1 - 0.2","0.0027 - 0.0054"
259,"0.1 - 0.2","0.0027 - 0.0054"
260,"0.1 - 0.2","0.0027 - 0.0054"
261,"0.1 - 0.2","0.0027 - 0.0054"
262,"0.1 - 0.2","0.0027 - 0.0054"
263,"0.1 - 0.2","0.0027 - 0.0054"
264,"0.1 - 0.2","0.0027 - 0.0054"
265,"0.1 - 0.2","0.0027 - 0.0054"
266,"0.1 - 0.2","0.0027 - 0.0054"
267,"< 0.04","< 0.001"
268,"0.1 - 0.2","0.0027 - 0.0054"
269,"0.1 - 0.2","0.0027 - 0.0054"
270,"0.4 - 1","0.01 - 0.027"
271,"0.04 - 0.1","0.001 - 0.0027"
272,"2 - 4","0.054 - 0.1"
273,"1 - 2","0.027 - 0.054"
274,"1 - 2","0.027 - 0.054"
275,"0.2 - 0.4","0.0054 - 0.01"
276,"2 - 4","0.054 - 0.1"
277,"0.4 - 1","0.01 - 0.027"
278,"0.2 - 0.4","0.0054 - 0.01"
279,"1 - 2","0.027 - 0.054"
280,"< 0.04","< 0.001"
281,"< 0.04","< 0.001"
282,"< 0.04","< 0.001"
283,"< 0.04","< 0.001"
284,"< 0.04","< 0.001"
285,"< 0.04","< 0.001"
286,"< 0.04","< 0.001"
287,"< 0.04","< 0.001"
288,"< 0.04","< 0.001"
289,"< 0.04","< 0.001"
290,"< 0.04","< 0.001"
291,"< 0.04","< 0.001"
292,"< 0.04","< 0.001"
293,"< 0.04","< 0.001"
294,"< 0.04","< 0.001"
295,"< 0.04","< 0.001"
296,"< 0.04","< 0.001"
297,"< 0.04","< 0.001"
298,"< 0.04","< 0.001"
299,"< 0.04","< 0.001"
300,"< 0.04","< 0.001"
301,"< 0.04","< 0.001"
302,"< 0.04","< 0.001"
303,"< 0.04","< 0.001"
304,"< 0.04","< 0.001"
305,"< 0.04","< 0.001"
306,"< 0.04","< 0.001"
307,"< 0.04","< 0.001"
308,"< 0.04","< 0.001"
309,"< 0.04","< 0.001"
310,"< 0.04","< 0.001"
311,"0.2 - 0.4","0.0054 - 0.01"
312,"< 0.04","< 0.001"
313,"< 0.04","< 0.001"
314,"< 0.04","< 0.001"
